tanggal;nominal
2020-06-15 00.00.00;4003002
2020-06-16 00.00.00;9283000
2020-06-17 00.00.00;3818800
2020-06-18 00.00.00;2856000
2020-06-19 00.00.00;3700000
2020-06-20 00.00.00;546000
2020-06-21 00.00.00;685999
2020-06-22 00.00.00;465100
2020-06-23 00.00.00;1160100
2020-06-24 00.00.00;1762000
2020-06-25 00.00.00;1760000
2020-06-26 00.00.00;4899076
2020-06-27 00.00.00;3435000
2020-06-28 00.00.00;4047000
2020-06-29 00.00.00;3242329
2020-06-30 00.00.00;2123000
2020-07-01 00.00.00;2996000
2020-07-02 00.00.00;2219500
2020-07-03 00.00.00;6232200
2020-07-04 00.00.00;1481300
2020-07-05 00.00.00;1167300
2020-07-06 00.00.00;4566000
2020-07-07 00.00.00;1981000
2020-07-08 00.00.00;1735300
2020-07-09 00.00.00;572000
2020-07-10 00.00.00;4920409
2020-07-11 00.00.00;1060000
2020-07-12 00.00.00;1470000
2020-07-13 00.00.00;2351002
2020-07-14 00.00.00;770000
2020-07-15 00.00.00;2671000
2020-07-16 00.00.00;2231000
2020-07-17 00.00.00;4242250
2020-07-18 00.00.00;1040109
2020-07-19 00.00.00;1348000
2020-07-20 00.00.00;3111000
2020-07-21 00.00.00;2290000
2020-07-22 00.00.00;711000
2020-07-23 00.00.00;1780000
2020-07-24 00.00.00;8226294
2020-07-25 00.00.00;4920524
2020-07-26 00.00.00;2001000
2020-07-27 00.00.00;2307000
2020-07-28 00.00.00;8495750
2020-07-29 00.00.00;4771636
2020-07-30 00.00.00;7250500
2020-07-31 00.00.00;6254000
2020-08-01 00.00.00;4928001
2020-08-02 00.00.00;4821000
2020-08-03 00.00.00;5875000
2020-08-04 00.00.00;8351001
2020-08-05 00.00.00;8690742
2020-08-06 00.00.00;3812800
2020-08-07 00.00.00;17633640
2020-08-08 00.00.00;7792000
2020-08-09 00.00.00;5087000
2020-08-10 00.00.00;7769427
2020-08-11 00.00.00;14954500
2020-08-12 00.00.00;17069000
2020-08-13 00.00.00;13346000
2020-08-14 00.00.00;11362500
2020-08-15 00.00.00;3040270
2020-08-16 00.00.00;926000
2020-08-17 00.00.00;9537018
2020-08-18 00.00.00;6373331
2020-08-19 00.00.00;15937834
2020-08-20 00.00.00;3720000
2020-08-21 00.00.00;11866673
2020-08-22 00.00.00;1375000
2020-08-23 00.00.00;1083500
2020-08-24 00.00.00;4080212
2020-08-25 00.00.00;9119876
2020-08-26 00.00.00;2890827
2020-08-27 00.00.00;6871242
2020-08-28 00.00.00;15173913
2020-08-29 00.00.00;10348363
2020-08-30 00.00.00;3384000
2020-08-31 00.00.00;13367410
2020-09-01 00.00.00;8617584
2020-09-02 00.00.00;6486584
2020-09-03 00.00.00;5128001
2020-09-04 00.00.00;13992558
2020-09-05 00.00.00;26605000
2020-09-06 00.00.00;10837039
2020-09-07 00.00.00;6343968
2020-09-08 00.00.00;9308000
2020-09-09 00.00.00;8629796
2020-09-10 00.00.00;4100557
2020-09-11 00.00.00;8999001
2020-09-12 00.00.00;4087009
2020-09-13 00.00.00;3242000
